idx,id,order
70,43bab8d4a2a68750e6d0dd88110bc5261be8dca6,"3,0,1,2"
71,b2294f5fea3f90e258ef24ef0b29e124f78818df,"2,3,1,0"
72,448a9576b7e900d21fe166f94506237a4665884f,"0,2,1,3"
73,9362b13f8a73d4a8181be3e52ec507eb60c49cb9,"3,0,1,2"
74,02707f34ba299661dc0a269b1ee41edc2f44390e,"1,0,3,2"
75,373c08f7ca6776b2e4175df801014250d30523e6,"1,0,3,2"
76,fe6bf75dae4908e32149b6ab06afecc4a732e72c,"2,3,1,0"
77,36c086ccaee7130b7761393c844751ff59a41ec3,"1,3,0,2"
78,4623797b6e98917b7ecdfdd1b009e6134a4a8d9d,"3,0,2,1"
79,b6c885ad75cadf63e7b3e93516638e6e3a4a059e,"1,0,3,2"
80,43d83fac62758f49b7bb23f2dc943580553c3591,"3,0,1,2"
81,26252d601e52ff5ffabde202bc4883ee24b4ba49,"0,1,3,2"
82,1997b4f4d49b7d0655ceb3f87bbc92996e382bd4,"1,2,3,0"
83,4a2267f76c5a5d5bf3bb07a13f529e661fe31a5b,"2,0,3,1"
84,e53fa244dd232d7e5756c93ba9aba86af7bcaade,"1,0,2,3"
85,5758f32ce38882f8f5326e4861caf1971525c92a,"2,0,1,3"
86,ac31de65be34fd73a624df0f60c5a813ed435fbd,"0,3,2,1"
87,3bc2f84772fbba23a6e45dfa793b3d157677fd12,"3,1,0,2"
88,e79e40746dbc24643a3a3f044d2f49689ff82e38,"0,2,1,3"
89,83929ecdce991d796da1e4d2eb940c5125c5f7d0,"2,3,0,1"
90,db83113fccc65226f4acfd68f68a84389e220ba8,"0,3,1,2"
91,3e57281183eb01e01fc23b3cdf13744b209b96e4,"0,3,2,1"
92,32c66c9e0853ea1273659969dcb2f902932e97c1,"0,2,3,1"
93,28545c6ea97e91c15d65acaf90e09d0383528226,"0,3,2,1"
94,bd47660646956a2257203d201077b7a300f87f04,"1,3,0,2"
95,a316a0a9a58b0f4c567041afe6c95f6566b0e598,"3,2,1,0"
96,b08b46cfa915b0e63d08298f24e83560ce630b97,"1,3,2,0"
97,4b7d9dff37e0fbdbd1f7386001fbaeca4fa3fed8,"3,2,1,0"
98,e466104e70acead8354ed7d3c43fb8b12299ce10,"3,2,0,1"
99,1f0090752904620fde807f19ff8b497e17f19d4d,"3,1,2,0"
