idx,id,order,Summary 1,Summary 2,Summary 3,Summary 4,Summary 5
41,db83113fccc65226f4acfd68f68a84389e220ba8,"1,0,4,2,3",Step 1,Initial,Step 4,Step 2,Step 3
42,ac31de65be34fd73a624df0f60c5a813ed435fbd,"1,2,3,0,4",Step 1,Step 2,Step 3,Initial,Step 4
43,e2ef75518e69947f79acb9202516689b6c869e92,"4,2,3,1,0",Step 4,Step 2,Step 3,Step 1,Initial
44,b88ed31bf92c19390b6707bd41ab0e485eb7d867,"4,2,1,3,0",Step 4,Step 2,Step 1,Step 3,Initial
45,a396e698f80b68e0392dfa6d66ce0731940375f3,"3,0,4,1,2",Step 3,Initial,Step 4,Step 1,Step 2
46,a316a0a9a58b0f4c567041afe6c95f6566b0e598,"3,4,0,2,1",Step 3,Step 4,Initial,Step 2,Step 1
47,177bd2079b6840e13eb67ae342e271bf4d8824af,"4,2,1,3,0",Step 4,Step 2,Step 1,Step 3,Initial
48,feae53518bfe6e7dd00144b601c98ddca6db3e73,"3,0,4,1,2",Step 3,Initial,Step 4,Step 1,Step 2
49,a750c2c231606faf335396954c2c10c82a3b741c,"1,0,4,2,3",Step 1,Initial,Step 4,Step 2,Step 3
50,cac5fa8f634b590fa59788074a0a1bb430b131ce,"1,3,0,2,4",Step 1,Step 3,Initial,Step 2,Step 4
51,132e50805378d42b2996fdd648d1da78c60d235d,"1,3,4,0,2",Step 1,Step 3,Step 4,Initial,Step 2
52,d0ae207ac01ba7915ffdae96aa12e6b63c5dd9bd,"0,1,3,2,4",Initial,Step 1,Step 3,Step 2,Step 4
53,83929ecdce991d796da1e4d2eb940c5125c5f7d0,"1,2,4,3,0",Step 1,Step 2,Step 4,Step 3,Initial
54,b8732349a46a96100b9c90307338082d9f28c6b3,"3,0,1,4,2",Step 3,Initial,Step 1,Step 4,Step 2
55,43bab8d4a2a68750e6d0dd88110bc5261be8dca6,"1,0,4,3,2",Step 1,Initial,Step 4,Step 3,Step 2
56,499a124cead7ca656b787038d8cddf98aab0dab5,"0,2,4,1,3",Initial,Step 2,Step 4,Step 1,Step 3
57,ef32ee293f0a184d83be301644abd7c96aa26201,"4,1,2,3,0",Step 4,Step 1,Step 2,Step 3,Initial
58,fc2d95d4b9e149b68bb5718eaa904d839faa6a73,"0,2,4,3,1",Initial,Step 2,Step 4,Step 3,Step 1
59,7591673bf0c43fff729266f85152a5b299c795e6,"0,2,3,4,1",Initial,Step 2,Step 3,Step 4,Step 1
60,373c08f7ca6776b2e4175df801014250d30523e6,"4,3,0,2,1",Step 4,Step 3,Initial,Step 2,Step 1
61,201e23126e1529feacf1c1954fee6ad184797645,"0,2,1,3,4",Initial,Step 2,Step 1,Step 3,Step 4
62,cd1277ce7f18f92fb428e03ac30cf9e632fa8567,"1,3,4,2,0",Step 1,Step 3,Step 4,Step 2,Initial
63,ef181dab5f3e1ff34eeee1334201d111a6d6498b,"3,2,0,4,1",Step 3,Step 2,Initial,Step 4,Step 1
64,87eda3b4401790d9d1476f7c9c12660dc6c8adf3,"3,1,4,2,0",Step 3,Step 1,Step 4,Step 2,Initial
65,4a62a71b7db9e00dbd0b31d5434d070069c2b22f,"1,2,0,3,4",Step 1,Step 2,Initial,Step 3,Step 4
66,92458fa8573486214facd07057c2932895bc1c80,"1,0,2,3,4",Step 1,Initial,Step 2,Step 3,Step 4
67,603b36f646ea47af4c4fb72589db3a8510ac9189,"1,3,0,2,4",Step 1,Step 3,Initial,Step 2,Step 4
68,5d42bdc710c44c1127f4a82fc80163d1521d3f7a,"2,3,1,0,4",Step 2,Step 3,Step 1,Initial,Step 4
69,3b802ca599f267c9fd02b4c226c42e2c607cf089,"0,3,4,1,2",Initial,Step 3,Step 4,Step 1,Step 2
70,e466104e70acead8354ed7d3c43fb8b12299ce10,"1,0,4,3,2",Step 1,Initial,Step 4,Step 3,Step 2
71,d2c86883150136b6affe3a12aa6bcb7d2388591a,"2,4,0,1,3",Step 2,Step 4,Initial,Step 1,Step 3
72,110a3946befd20c33dd7f9073cd8eb432ab807b3,"3,4,2,0,1",Step 3,Step 4,Step 2,Initial,Step 1
73,3bfe27dc86f0424787f32deb16df09a902c6a8e6,"4,3,1,0,2",Step 4,Step 3,Step 1,Initial,Step 2
74,4a2267f76c5a5d5bf3bb07a13f529e661fe31a5b,"0,3,2,4,1",Initial,Step 3,Step 2,Step 4,Step 1
75,faa7faaba1584ceb46f7d6adda28d0039d069ff4,"4,1,3,2,0",Step 4,Step 1,Step 3,Step 2,Initial
76,1f0090752904620fde807f19ff8b497e17f19d4d,"2,1,4,3,0",Step 2,Step 1,Step 4,Step 3,Initial
77,738ab21deb9e3d8d29020a16cbb4df121503ceec,"1,3,0,4,2",Step 1,Step 3,Initial,Step 4,Step 2
78,02707f34ba299661dc0a269b1ee41edc2f44390e,"3,2,4,1,0",Step 3,Step 2,Step 4,Step 1,Initial
79,ad667dee62fc2dfb077bb833f729950313bf0c47,"1,2,4,3,0",Step 1,Step 2,Step 4,Step 3,Initial
80,b6b12a45925976c28495e8b08a57210cdf0187a2,"4,2,3,0,1",Step 4,Step 2,Step 3,Initial,Step 1
81,1bcc3faaff8cf93fe14122cbbe252c6d4f57eb83,"3,4,0,1,2",Step 3,Step 4,Initial,Step 1,Step 2
82,c07cd33a257ee817d3cc77ebc48592fc817ea886,"0,4,1,3,2",Initial,Step 4,Step 1,Step 3,Step 2
83,e65a8c05bc04c23ef4ade326ef31db3326eac5e1,"2,0,1,4,3",Step 2,Initial,Step 1,Step 4,Step 3
84,5c0512e4e3c2b3dea1eb40e06367b136b7968c1f,"0,1,4,3,2",Initial,Step 1,Step 4,Step 3,Step 2
85,1208590b2873d3ae6644f8e2ef741d97b5aee45a,"1,3,0,4,2",Step 1,Step 3,Initial,Step 4,Step 2
86,43d83fac62758f49b7bb23f2dc943580553c3591,"1,4,2,0,3",Step 1,Step 4,Step 2,Initial,Step 3
87,fe6bf75dae4908e32149b6ab06afecc4a732e72c,"2,3,1,0,4",Step 2,Step 3,Step 1,Initial,Step 4
88,5758f32ce38882f8f5326e4861caf1971525c92a,"4,0,3,2,1",Step 4,Initial,Step 3,Step 2,Step 1
89,3bc2f84772fbba23a6e45dfa793b3d157677fd12,"1,0,2,3,4",Step 1,Initial,Step 2,Step 3,Step 4
90,e53fa244dd232d7e5756c93ba9aba86af7bcaade,"4,0,3,2,1",Step 4,Initial,Step 3,Step 2,Step 1
91,081c05013d058366fbbe732c7d02e504802a40a4,"2,4,3,1,0",Step 2,Step 4,Step 3,Step 1,Initial
92,878cdee7f0c3d14d5676a8ef93995713aa0813ca,"2,4,3,1,0",Step 2,Step 4,Step 3,Step 1,Initial
93,1a2f81be8fcf453038e732ed7184730bea605f65,"4,3,2,1,0",Step 4,Step 3,Step 2,Step 1,Initial
94,43246b709fc44bf70f6265d80a42017c6b884515,"1,3,0,4,2",Step 1,Step 3,Initial,Step 4,Step 2
95,b08b46cfa915b0e63d08298f24e83560ce630b97,"4,2,3,1,0",Step 4,Step 2,Step 3,Step 1,Initial
96,d25d52c434a13c1df5faa593e8a097d2f501a2b6,"1,2,0,3,4",Step 1,Step 2,Initial,Step 3,Step 4
97,f3d8a15c67d9737c42aa43368df1b484c57f6986,"0,2,4,1,3",Initial,Step 2,Step 4,Step 1,Step 3
98,6cd35d953e91ad9da7fe9d93ae7e419c30269d50,"1,2,0,3,4",Step 1,Step 2,Initial,Step 3,Step 4
99,69566a6719e216f9ee87f7763665fd7a26e2c96d,"1,2,4,0,3",Step 1,Step 2,Step 4,Initial,Step 3
